Iteration	Posterior	Likelihood	Prior	lambda	rate[1]	rate[2]	tr[1]	tr[2]	word_rate_mult[1]	word_rate_mult[2]	word_rate_mult[3]	word_rate_mult[4]	word_rate_mult[5]	word_rate_mult[6]	word_rate_mult[7]	word_rate_mult[8]	word_rate_mult[9]	word_rate_mult[10]	word_rate_mult[11]
360	-653.0974	-633.621	-19.47646	0.008474121	0.973805	0.026195	0.5	0.5	0.029079	0.0236598	0.0385888	10.6982	0.0198147	0.0076128	0.0475199	0.0254552	0.0459063	0.0323132	0.0318594
365	-652.6277	-633.0855	-19.5422	0.009131456	0.960818	0.0391822	0.5	0.5	0.029079	0.0236598	0.0385888	10.6982	0.0198147	0.0076128	0.0475199	0.0254552	0.0459063	0.0323132	0.0318594
370	-657.2741	-637.859	-19.41517	0.007861183	0.978211	0.0217887	0.5	0.5	0.029079	0.0236598	0.0385888	10.6982	0.0198147	0.0076128	0.0475199	0.0254552	0.0459063	0.0323132	0.0318594
375	-660.9571	-641.1035	-19.85361	0.01224557	0.964681	0.0353192	0.5	0.5	0.029079	0.0236598	0.0385888	10.6982	0.0198147	0.0076128	0.0475199	0.0254552	0.0459063	0.0323132	0.0318594
380	-649.1224	-629.5141	-19.60821	0.009791572	0.967313	0.0326868	0.5	0.5	0.029079	0.0236598	0.0385888	10.6982	0.0198147	0.0076128	0.0475199	0.0254552	0.0459063	0.0323132	0.0318594
385	-649.4714	-629.5846	-19.88687	0.0125782	0.958144	0.0418561	0.5	0.5	0.029079	0.0236598	0.0385888	10.6982	0.0198147	0.0076128	0.0475199	0.0254552	0.0459063	0.0323132	0.0318594
390	-652.7377	-632.8508	-19.88687	0.0125782	0.975045	0.0249554	0.5	0.5	0.029079	0.0236598	0.0385888	10.6982	0.0198147	0.0076128	0.0475199	0.0254552	0.0459063	0.0323132	0.0318594
395	-661.4835	-641.2538	-20.22974	0.01600685	0.988808	0.0111916	0.5	0.5	0.029079	0.0236598	0.0385888	10.6982	0.0198147	0.0076128	0.0475199	0.0254552	0.0459063	0.0323132	0.0318594
400	-654.6755	-634.895	-19.78051	0.01151461	0.958909	0.0410906	0.5	0.5	0.029079	0.0236598	0.0385888	10.6982	0.0198147	0.0076128	0.0475199	0.0254552	0.0459063	0.0323132	0.0318594
405	-649.3729	-629.5123	-19.8606	0.01231553	0.979571	0.0204294	0.5	0.5	0.029079	0.0236598	0.0385888	10.6982	0.0198147	0.0076128	0.0475199	0.0254552	0.0459063	0.0323132	0.0318594
410	-644.2545	-624.6893	-19.56525	0.009361976	0.975653	0.0243474	0.5	0.5	0.029079	0.0236598	0.0385888	10.6982	0.0198147	0.0076128	0.0475199	0.0254552	0.0459063	0.0323132	0.0318594
415	-646.8499	-627.2382	-19.61167	0.009826184	0.97076	0.0292402	0.5	0.5	0.029079	0.0236598	0.0385888	10.6982	0.0198147	0.0076128	0.0475199	0.0254552	0.0459063	0.0323132	0.0318594
420	-652.8204	-633.3148	-19.50561	0.009826184	0.966626	0.0333745	0.5	0.5	0.0290692	0.0236519	0.0385759	10.6946	0.0198081	0.00761024	0.047504	0.0254466	0.0458908	0.0323023	0.0355433
425	-645.1471	-625.7077	-19.43943	0.01005667	0.970238	0.0297619	0.5	0.5	0.0290628	0.0236466	0.0385673	10.6922	0.0198037	0.00760855	0.0474934	0.0278834	0.0458807	0.0322952	0.0355354
430	-646.1818	-626.7638	-19.41795	0.009841878	0.953029	0.0469707	0.5	0.5	0.0290628	0.0236466	0.0385673	10.6922	0.0198037	0.00760855	0.0474934	0.0278834	0.0458807	0.0322952	0.0355354
